CompanyName,JobDesc
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
Cognizant Technology Solutions,"['Experience in data profiling, performance tuning in MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudKnowledge of RDBMS like MS SQL Server, Oracle', 'Senior data modeler with Hands-on experience on Erwin data modeling toolData warehouse concepts like relational modeling, normalization, sub-types, super-types, dimensional modeling, EDW, change data capture etc.Knowledge of RDBMS like MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudDevelop the logical data model based on the understanding of the conceptual model and conduct data profiling with the objective of delivering high quality data models and high quality of data within the limits of standards defined by Cognizant, client and industry.Associate should be able to work with different horizontals within customer and Client, elicit the requirements, prepare the Logical  Physical Data Model, Prepare the Source to Target Mapping for the data Model, Designating relationships between data fields, layout the blue print for a design, which will be physically built on the system.Organize the integration of data and migration activities to enhance efficiency.', 'Data Modeler: 5 years (Preferred)', 'The candidate can work permanently with no restriction on hours (Preferred)']"
Woolworths Group,"['New 18 month, Fixed Term opportunity for a Supply Chain Analyst in our Norwest, Bella Vista Office.\nEffectively, support and assist with the commercial needs of the operational teams within a fast paced, customer first environment\nJoin one of Australia’s leading retail groups, and enjoy the opportunity to grow and make a positive difference\n', 'Assist in tender preparation, costing analysis and development of recommendations\nCreate modelling that accurately compares current and alternative transport options\nDeliver business cases that are accurate, well documented and clearly presented\nCollaborate with stakeholders to gain required information to build Supply Chain solutions\nContribute to the development and achievement of the Woolworths Freight strategy\nAnalysis and reporting of contract performance\nManage commencement rate setup of new contracts and oversee the ongoing rate review process\n', 'Is curious and has great attention to detail, and not phased by the complexity of an issue\nHas a minimum of 5 years of related experience ideally within supply chain operations / procurement or finance\nCan deal with large and complex data sets\nPossesses an excellent ability to communicate and present results of analytics including recommendations\nIs proficient in SQL, Excel and Access to manage the task efficiently\nPossesses degree level tertiary qualification\n']"
AstraZeneca,"['\nEngaging the business to understand their needs and to solve their problems.\nConceptualise and design technical solutions that meet these needs.\nLead daily standups\nWork with the Business Relationship Manager to refine and schedule solution delivery\nLiaise with the offshore development team to ensure that requirements and designs are understood and that solutions are delivered on time.\nWork with offshore innovation and capability teams to ensure that the ANZ team is kept up to date\nChampion ANZ solutions with the international and global teams', '\nBusiness engagement using design thinking principles to elicit information needs in a proactive and collaborative manner, by asking the right people the right questions, and accurately capturing into demand management and change control processes.\nApplying business data to meet uncovered needs, by working with data architects to analyse, design and create prototypes and detailed specifications for solutions that fit.\nWorking autonomously in project managing solution delivery with scrum teams located across the global organization, and often dealing with ambiguity in locating the right resources and approach to problems.\nInterpreting and explaining business, functional and technical requirements for specified client implementations to IT developers, QA, managers, business leads and stakeholders.\nStrong understanding of data quality, including privacy and compliance considerations, to ensure policies and exceptions are managed and resolved in consultation with privacy officers, patient safety, data stewards and other business users.\nCreating and delivering promotional and training material for solutions.\nTroubleshooting and resolving support tickets on business applications.', '\nBachelors degree in a technology discipline\nPost grad qualifications in IT eg Masters highly regarded', '\nPharma background essential, especially a strong understanding of Veeva, IQVIA, Reltio, Axtria SalesIQ, Adobe Experience Manager, and other forms of commercial / patient data\nGraph database (Neo4J) highly regarded\nAmazon Stack (Redshift), SQL (Postgres  SQL Server), LDAP\nWeb application (AngularJS)  APIs\nETL (WherescapeRed), data wrangling (Talend)\nMicroStrategy (web  mobile)  OLAP concepts\nKnowledge of digital marketing trends and omni-channel concepts\nAgile software development processes and systems (JIRA)\nMockups (Balsamiq), Visio, Office, collaboration tools (MSTeams)\nVideo content creation (Camtasia)\nDesign Thinking', '\nCollaboration, inititaive, time management\nProject management, problem solving, business analysis\nData handling, interpretation and story-telling']"
Macquarie Group Limited,"['\ndesign and develop solutions to automate and move data to and from the Moody’s Risk Authority system using technologies such as Oracle SQL, PL/SQL and PowerShell\nparticipate in core strategic initiatives such as upgrading the platform and migrating to the Cloud\nwork closely with the business to understand requirements and their priorities, and collaboratively design and implement solutions\nmaintain high standards of software quality within the team by adhering to development standards and following best practices\nensure compliance of design, development, and unit test of applications in accordance with established standards\nassist with the technical and functional configuration of Moody’s Risk Authority\nparticipate in DevOps processes to support the system.\n', '\nprior experience designing, implementing and supporting solutions built on similar technologies\nin-depth technical knowledge of RDBMS concepts and ETL processes\nexperience with scripting, cloud technologies, code management, CI/CD and automated testing\na relevant technology related degree\nprevious experience in Investment Banking / Financial Services organisations.\n']"
QBE,"['Manage the analysis workflow - extract data from underwriting systems, maintain cat modelling databases, provide analysis results and guidance to internal customers\nProduce customised reports on exposure and modelled results\nAnalyse catastrophe reinsurance structures and strategies to support reinsurance placements\nContinually review processes and data quality, establish initiatives to deliver improvements\nProvide timely information and estimates of potential claims during catastrophe events\nEvaluate insurance pricing for individual accounts and product classes\nContribute to Group projects as required, liaising with other divisions\n', ""a number of years' experience in a catastrophe modelling or analytical role\nDegree level education in mathematical or scientific subject\nInsurance industry experience highly regarded\nPreviously worked with large sets of data with an eye for detail\nProperty insurance knowledge will be highly regarded\nBasic understanding of regulatory environment in Australia  New Zealand\nExcellent analytical, interpersonal, communication and organizational skills\nDatabase software including MS Access, SQL or SAS\nCatastrophe modelling software eg. RMS or AIR, preferred\n"", 'Paid Parental leave (inclusive of paid superannuation during this time)\nSecondment opportunities\nEmployee assistance programme\nPaid volunteer leave\nPurchased leave\nProduct discounts\nSuperannuation matching\n']"
JLL,[]
News Corp Australia,"['\nDevelop well architected  tested code that support the business requirements\nBe the Subject Matter Expert for Big Data Platform(s)\nMentor Data Engineers on good engineering practices and coding standards\nRecommend technologies to use to take advantage of development capabilities for new and existing projects', '\nProven career history in data science  engineering\nDevelopment in Python, Scala / Java\nExtensive experience using and maintaining AWS environments\nExperience leading a team of engineers\nCan identify tasks which require automation and automate them\nCode reviews and automated testing are part of your DNA\nStrong experience in SQL and NOSQL databases\nExperience in version control systems (GIT)\nExperience with Spark and/or clustered technologies\nExperience with Airflow or similar scheduler and monitor workflow tools.', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nExposure to global operations and networks\nMake a difference as part of Australia’s most influential media organisation']"
KinCare,"['Do work that matters – be part of an organisation making a difference in the community\nUnique opportunity to drive business outcomes and improvements across our organisation\nPermanent full-time position, competitive salary and great location!\n', ""\nDo work that matters - join an organisation making a difference in the community\nGrow your career in Australia's fastest expanding industry\nEnjoy challenge and variety working with multiple stakeholders  solving complex problems\nLearning and development opportunities, working in a high performing team\nProfessional office environment, located in the upmarket Norwest Business Park\nPermanent, full-time role offering a competitive salary\nActive social club  excellent health and wellbeing program including free Pilates classes, stretching break-out sessions and fresh fruit / snacks available daily!\n"", '\nAt least 3-5 years’ experience in similar roles with a proven track record for successfully partnering with businesses and improving organisational performance\nExperience in business process modelling, predictive analytics, visualisation tools  BI reporting\nComputer skills including Tableau, Excel and PowerPoint (SQL experience is desirable)\nExceptional communication, stakeholder engagement and influencing capabilities\nProven analytical, problem solving and critical thinking skills\nStrong time management, prioritisation and attention to detail\nResilience and a pragmatic solution-focused approach with an improvement mindset and a strong willingness to learn and adapt as required to be successful in the role\n']"
Woolworths Supermarkets,"['Finance Business Partnering role to support the development  review of Loyalty business cases\nCollaborative, creative  fast-paced nimble culture\nAmple career development opportunities\n', 'The development and review of Loyalty business cases, preparation of post review analysis and benefits tracking. Provide recommendations and insight on results by working collaboratively with the Commercial team\nReview and challenge monthly results with business partners and build commercial acumen through the provision of your insights and knowledge of accounting and financial principles\nCoordinate and manage an effective budgeting process with sufficient detail and aligning with Loyalty team Strategy\nPartner with Loyalty project teams to ensure all financial systems requirements for new initiatives are captured, tested and implemented\nDrive improvement in CODB performance via trend analysis\nDrive governance and accountability within the Loyalty team\n', 'Tertiary qualification in finance/business/commerce required\nCA/CPA Qualification necessary\n5+ years commercial experience, ideally in an FMCG / Retail\nPrevious experience in budgeting, reporting and analysis\nConfident and strong communication  presentation skills\nPrioritise team efforts to support business requirements\nAdvanced systems experience e.g. Microsoft Office applications (inc. Excel, Powerpoint), SAP\n']"
KUKA Robotics,"['\nDeliver defined parts of a project, including update of specifications, module design, implementation, testing, integration (in-house and on-site), and documentation\nDevelop applications based on Java JEE, Web and Oracle PL/SQL technologies embedded into the company’s product frameworks\nDevelopment includes frontend and backend solutions and testing the software in accordance with design requirements and test plans based on the functional specifications\nResolve software support incidents within defined SLA’s agreed with local CS Support Department heads\nIdentify root cause issues with live operational sites and develop permanent solutions to aid continuous improvement\nTake ownership of software trackers, but highlighting defects within support incidents and ensures those are resolved\nImplement minor change orders for installed base solutions\nAvailable for support outside of office hours (based on escalations)\nParticipate in regular meetings with the implementation team\nRepresent Regional HUB by participating in regular meetings within the global CS community and local CS Support teams\nEffective use of defined toolsets (Eclipse, Maven, Jenkins, Sonar and Subversion) in accordance with company standards\nTravel when required (up to 30%/40% of the time) to customer sites during onsite installation and commissioning', '\nSome years of experience with software development\nPrevious experience of working in a team providing software solutions in projects with tight budgets and timeframes.\nHas knowledge in programming Java SE  EE business (backend) and web applications (frontend)\nIs knowledgeable with OO principles and techniques (Java architectures, design patterns)\nDemonstrated understanding of Eclipse development environment, Maven build automation and CI environments, preferably Sonar / Jenkins\nHolds knowledge about test driven development, preferably based on JUnit and Mockito\nSome understanding of Application Servers, preferably Oracle GlassFish or Oracle Fusion Middleware Weblogic\nStrong commitment to learn and improve IT and domain skills\nDatabase design and SQL programming knowledge\nWillingness to work in dynamic yet fun environment\nHas a strong interest in new technology and is happy to learn on the job with support\nExperience in the supply chain or logistics industry. (desirable)\nExperience with automated material flow systems conveyor, crane, etc. (desirable)\nSome years of experience in consulting or system integration. (desirable)']"
Telstra Health,"['\nWork with stakeholders to elicit, document, organise and prioritise business requirements\nConduct the necessary testing and systems analysis.\nAnalyse information needs and functional requirements and deliver functional requirements, Business Requirements Documents, Use Cases, Screen and Interface designs\nEnsure all relevant key stakeholders are informed of the progress of project implementation and manage client expectations\nWork with project teams to ensure the successful and timely delivery of the project', '\nWorking for the largest Australian-based provider of software for healthcare providers and funders\nBeing part of a digital health organisation on an accelerated growth path\nDeveloping strong relationships with internal and external stakeholders']"
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
Cognizant Technology Solutions,"['Experience in data profiling, performance tuning in MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudKnowledge of RDBMS like MS SQL Server, Oracle', 'Senior data modeler with Hands-on experience on Erwin data modeling toolData warehouse concepts like relational modeling, normalization, sub-types, super-types, dimensional modeling, EDW, change data capture etc.Knowledge of RDBMS like MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudDevelop the logical data model based on the understanding of the conceptual model and conduct data profiling with the objective of delivering high quality data models and high quality of data within the limits of standards defined by Cognizant, client and industry.Associate should be able to work with different horizontals within customer and Client, elicit the requirements, prepare the Logical  Physical Data Model, Prepare the Source to Target Mapping for the data Model, Designating relationships between data fields, layout the blue print for a design, which will be physically built on the system.Organize the integration of data and migration activities to enhance efficiency.', 'Data Modeler: 5 years (Preferred)', 'The candidate can work permanently with no restriction on hours (Preferred)']"
