CompanyName,JobTitle,JobDesc,URL
N/A,[],[],https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BnwP2sktNV45-ehwthAeqHvE55G9Vkk_7FBtcset_IP8SJDyUBdqoe_GezDOs_9bCEsY-gPxhjV6Ypc6mjZJo8Pwzg68L27g-wNKNY8-oTg899zgJnWrLfrKzEN25QY3Pd-mU7uXIEjxUNllwm-de816rNzX_PscbuCJNY8eG3XPYqjCSgkB2NImVgGUHwsQJa83_4meLzhSnABPF9rqhdA6Xhbg7VyeqsAutrHAKMCRnKESZgnLKcE5iRkj0gPO222lQBbBodW74GKwo0JVpaGWgqB5L7uoR3AcCxoaoIjVejygcVoepUnoyF9jceY_ckRIy4P81ZWiYUudEQJqd8oxmRK0IMWsqV-CN8N0rC3V2SRhU7iscvlU2mDTYDyYE1QHfXB9tm7ekzbBjVzyEGyctbqVZRlu3cQaJNPqLiVwR0rqmhVX9YANEybjiSREK5T1qiWovI14toBVD21mKV&p=0&fvj=1&vjs=3
Verisk Financial,Associate Analyst - SQL,"[['Solves challenging business problems and communicates findings to clients, management, and peersBecome an expert in data extraction and analysis by leveraging a unique, industry leading data set learning to synthesize large volumes of data into easily understood, actionable recommendations that support clients’ strategic visionsSupports management in delivering clear, concise presentations using best-in-class visualization techniques and clearly written commentaryParticipates in internal and client facing projectsBuild industry knowledge through exposure to a diverse range of strategies deployed by Argus’ clients including the UK’s largest financial institutions'], ['Bachelor’s degree – advanced degree a plusExcellent communication skills, both written and verbalStrong problem solving, quantitative and analytical skills with a keen attention to detailCan take on challenging unstructured assignments with little supervisionAbility to thrive in a fast-paced dynamic environment, working on multiple high profile assignments in parallel']]",https://indeed.com/rc/clk?jk=b1874467c3fedfe2&fccid=d621f9a5603cfedd&vjs=3
N/A,Associate Analyst - SQL,[],https://indeed.com/rc/clk?jk=54af7964759600d6&fccid=45a7bfad3b971593&vjs=3
Woolworths Supermarkets,Business Analyst,"[['Would you like to be part of a high performing Finance team for Australia’s largest Supermarket chain?', 'Be a part of one of the largest Finance functions in Corporate Australia.', ''], ['Manage cost centres for Woolworths Supply Partners - deliver insightful commentary and actionable insights based on production mix, yield performance, financial and non-financial metrics. Maintain and review Inventory costing and master data.', 'Define solutions to automate and improve reporting using systems such as Foods Connected, Quintiq, Tableau and Google Cloud Platform', 'Play a key role in the Annual Operating Plan (Budget)', 'Analyse business drivers, prepare monthly forecast identifying risks and opportunities.and perform other ad hoc analysis as required', 'Apply initiative  solution orientated approach with commitment to improve ways of working', ''], ['Exposure to SQL platforms including Google Cloud Platform, Python, MySQL or similar', 'Previous experience working with SAP or ERP equivalent', '']]",https://indeed.com/rc/clk?jk=82af4bbf7aa02079&fccid=4fa27cf74ed20337&vjs=3
N/A,Business Analyst,[],https://indeed.com/rc/clk?jk=13b0ab7adf38f08d&fccid=7ab5f4f72fdce966&vjs=3
KUKA Robotics,Software Engineer,"[['', 'Deliver defined parts of a project, including update of specifications, module design, implementation, testing, integration (in-house and on-site), and documentation', 'Develop applications based on Java JEE, Web and Oracle PL/SQL technologies embedded into the company’s product frameworks', 'Development includes frontend and backend solutions and testing the software in accordance with design requirements and test plans based on the functional specifications', 'Resolve software support incidents within defined SLA’s agreed with local CS Support Department heads', 'Identify root cause issues with live operational sites and develop permanent solutions to aid continuous improvement', 'Take ownership of software trackers, but highlighting defects within support incidents and ensures those are resolved', 'Implement minor change orders for installed base solutions', 'Available for support outside of office hours (based on escalations)', 'Participate in regular meetings with the implementation team', 'Represent Regional HUB by participating in regular meetings within the global CS community and local CS Support teams', 'Effective use of defined toolsets (Eclipse, Maven, Jenkins, Sonar and Subversion) in accordance with company standards', 'Travel when required (up to 30%/40% of the time) to customer sites during onsite installation and commissioning'], ['', 'Some years of experience with software development', 'Previous experience of working in a team providing software solutions in projects with tight budgets and timeframes.', 'Has knowledge in programming Java SE  EE business (backend) and web applications (frontend)', 'Is knowledgeable with OO principles and techniques (Java architectures, design patterns)', 'Demonstrated understanding of Eclipse development environment, Maven build automation and CI environments, preferably Sonar / Jenkins', 'Holds knowledge about test driven development, preferably based on JUnit and Mockito', 'Some understanding of Application Servers, preferably Oracle GlassFish or Oracle Fusion Middleware Weblogic', 'Strong commitment to learn and improve IT and domain skills', 'Database design and SQL programming knowledge', 'Willingness to work in dynamic yet fun environment', 'Has a strong interest in new technology and is happy to learn on the job with support', 'Experience in the supply chain or logistics industry. (desirable)', 'Experience with automated material flow systems conveyor, crane, etc. (desirable)', 'Some years of experience in consulting or system integration. (desirable)']]",https://indeed.com/rc/clk?jk=3d9243b7583a2482&fccid=53544a1298fd9768&vjs=3
N/A,Software Engineer,[],https://indeed.com/rc/clk?jk=a9bdfacec18788c3&fccid=bcc490ce3081fe3c&vjs=3
Commonwealth Bank,Credit Risk Analyst - Expression of Interest,"[['You will successfully undertake analytical deep dives on current portfolio performance, generating insights and identifying opportunities to improve our collections strategies', 'You will enable strategy development, monitoring and reporting and provide expert risk advice to internal stakeholders', 'Through hypothesis led analytics you will understand and assess risk strategy performance, identify opportunities to improve our collection and customer contact strategies and formulate enhancement initiatives', ''], ['You can demonstrate experience in using data manipulation and statistical analysis tools (e.g. SAS, SQL, Tableau) to convert large data sets into easily consumable and insightful reports and business recommendations', 'You are comfortable using data to derive, justify and implement hypothesis driven strategy optimisation', 'You are confident formulating and communicating ideas to senior management', 'You are proficient in SAS / SQL and Excel', 'You have demonstrable experience working with large data sets, and understanding interactions between relevant data', 'You have an understanding of or a desire to understand how credit risk strategies can drive profit generation.', '']]",https://indeed.com/rc/clk?jk=cc47adbcc85dc87d&fccid=26f47cce54403a22&vjs=3
KinCare,Business Analyst,"[['Do work that matters – be part of an organisation making a difference in the community', 'Unique opportunity to drive business outcomes and improvements across our organisation', 'Permanent full-time position, competitive salary and great location!', ''], ['', 'Do work that matters - join an organisation making a difference in the community', ""Grow your career in Australia's fastest expanding industry"", 'Enjoy challenge and variety working with multiple stakeholders  solving complex problems', 'Learning and development opportunities, working in a high performing team', 'Professional office environment, located in the upmarket Norwest Business Park', 'Permanent, full-time role offering a competitive salary', 'Active social club  excellent health and wellbeing program including free Pilates classes, stretching break-out sessions and fresh fruit / snacks available daily!', ''], ['', 'At least 3-5 years’ experience in similar roles with a proven track record for successfully partnering with businesses and improving organisational performance', 'Experience in business process modelling, predictive analytics, visualisation tools  BI reporting', 'Computer skills including Tableau, Excel and PowerPoint (SQL experience is desirable)', 'Exceptional communication, stakeholder engagement and influencing capabilities', 'Proven analytical, problem solving and critical thinking skills', 'Strong time management, prioritisation and attention to detail', 'Resilience and a pragmatic solution-focused approach with an improvement mindset and a strong willingness to learn and adapt as required to be successful in the role', '']]",https://indeed.com/rc/clk?jk=d7bbf7a2f3db606f&fccid=18bfccb232e1bc2b&vjs=3
N/A,Business Analyst,[],https://indeed.com/rc/clk?jk=76f17009d854d275&fccid=151211c27c917ad3&vjs=3
